step          none      temp        potential_energy  none                none              none          none
      1070  0.00000000  316.386   -177.0812963887   -168.5066210247      0.0000000000   0.422823E+01     8.32
      1075  0.00000000  551.408   -177.0844190361   -168.4993571922      0.0000000000   0.434050E+01     9.13
      1080  0.00000000  792.771   -177.0870913713   -168.4832249848      0.0000000000   0.448095E+01     6.70
      1085  0.00000000 1453.987   -177.0662788111   -168.4197585076      0.0000000000   0.458515E+01     3.58
      1090  0.00000000 1736.999   -177.0829171598   -168.3268365928      0.0000000000   0.460229E+01     4.89
      1095  0.00000000  921.051   -177.0959120263   -168.3087852058      0.0000000000   0.464358E+01     8.71
      1100  0.00000000  646.683   -177.0993742861   -168.3045667894      0.0000000000   0.467899E+01    12.74
      1105  0.00000000 1156.116   -177.0955463557   -168.2642248808      0.0000000000   0.475005E+01     2.90
      1110  0.00000000 1054.818   -177.0895431150   -168.2472731299      0.0000000000   0.481003E+01     9.83
      1115  0.00000000 1011.507   -177.1089034922   -168.2368280828      0.0000000000   0.487907E+01    10.95
      1120  0.00000000  692.343   -177.1131495712   -168.2328006844      0.0000000000   0.495444E+01     7.82
      1125  0.00000000  227.579   -177.0816275585   -168.2035749157      0.0000000000   0.503157E+01     5.79
      1130  0.00000000  236.326   -177.0998473991   -168.2162037837      0.0000000000   0.510651E+01     9.16
      1135  0.00000000  301.105   -177.1067610737   -168.2156173837      0.0000000000   0.517406E+01     5.81
      1140  0.00000000  186.260   -177.1087401295   -168.2148157710      0.0000000000   0.524362E+01     7.59
      1145  0.00000000  231.082   -177.1012182753   -168.1998649868      0.0000000000   0.532239E+01     4.47
      1150  0.00000000  531.413   -177.0944080448   -168.1777344321      0.0000000000   0.541434E+01     1.74
      1155  0.00000000 1220.602   -177.0489000558   -168.0893760206      0.0000000000   0.562016E+01     1.72
      1160  0.00000000 1103.978   -176.9907737244   -167.9871047770      0.0000000000   0.582219E+01     1.29
      1165  0.00000000  755.782   -176.9419847490   -167.9143464209      0.0000000000   0.595831E+01     1.51
      1170  0.00000000 1566.364   -176.8692107505   -167.7727898732      0.0000000000   0.603752E+01     1.72
      1175  0.00000000 1991.208   -176.7541410554   -167.5173390075      0.0000000000   0.612749E+01     1.29
      1180  0.00000000 1704.228   -176.6612907469   -167.2833094023      0.0000000000   0.614879E+01     1.51
      1185  0.00000000 2088.697   -176.6993573519   -167.1896619339      0.0000000000   0.609098E+01     1.29
      1190  0.00000000 1672.085   -176.7887489998   -167.1686630328      0.0000000000   0.597822E+01     1.72
      1195  0.00000000 1361.049   -176.8515512917   -167.1439344540      0.0000000000   0.590687E+01     2.58
      1200  0.00000000  974.276   -176.8769156940   -167.1106388778      0.0000000000   0.587428E+01     3.00
      1205  0.00000000  765.512   -176.8836968531   -167.0796378203      0.0000000000   0.586053E+01     2.35
      1210  0.00000000  590.331   -176.8937282522   -167.0636937781      0.0000000000   0.585463E+01     3.43
      1215  0.00000000  496.363   -176.9214684788   -167.0756462387      0.0000000000   0.585733E+01     4.89
      1220  0.00000000  446.782   -176.9329434644   -167.0742261174      0.0000000000   0.586873E+01     7.72
      1225  0.00000000  398.729   -176.9432187962   -167.0704967084      0.0000000000   0.589711E+01    10.72
      1230  0.00000000  562.725   -176.9468965794   -167.0537511212      0.0000000000   0.593414E+01    10.70
      1235  0.00000000 1013.097   -176.9278248137   -166.9972581562      0.0000000000   0.596464E+01     7.51
      1240  0.00000000 1335.104   -176.9385391468   -166.9472123810      0.0000000000   0.598151E+01     3.86
      1245  0.00000000 1176.918   -176.9462451196   -166.9005623356      0.0000000000   0.595184E+01     8.79
      1250  0.00000000  851.851   -176.9692255054   -166.8870658013      0.0000000000   0.590541E+01     3.86
      1255  0.00000000  660.339   -176.9570064399   -166.8510551083      0.0000000000   0.582502E+01     1.93
      1260  0.00000000  475.861   -176.9719315275   -166.8520674572      0.0000000000   0.575301E+01     2.79
      1265  0.00000000  322.891   -177.0103411623   -166.8817163681      0.0000000000   0.566397E+01    12.60
      1270  0.00000000  304.585   -177.0138838279   -166.8769112780      0.0000000000   0.560083E+01     2.79
      1275  0.00000000  292.091   -177.0037251192   -166.8608628537      0.0000000000   0.553861E+01     3.87
      1280  0.00000000  292.840   -176.9922084572   -166.8432946198      0.0000000000   0.547737E+01     2.16
      1285  0.00000000  259.729   -176.9739314749   -166.8210543014      0.0000000000   0.540293E+01     2.58
      1290  0.00000000  271.329   -176.9600945489   -166.8031406556      0.0000000000   0.533343E+01     1.93
      1295  0.00000000  235.835   -176.9619324674   -166.8019021894      0.0000000000   0.526879E+01     3.22
      1300  0.00000000  250.890   -176.9366986381   -166.7727918501      0.0000000000   0.519355E+01     2.36
      1305  0.00000000  235.311   -176.9568599072   -166.7892868461      0.0000000000   0.512266E+01     5.80
      1310  0.00000000  216.850   -176.9217556524   -166.7515020653      0.0000000000   0.506725E+01     3.00
      1315  0.00000000  381.445   -176.9281937760   -166.7491069295      0.0000000000   0.501641E+01     3.00
      1320  0.00000000  304.896   -176.9396722069   -166.7586589052      0.0000000000   0.496489E+01     7.52
      1325  0.00000000  289.252   -176.9186481193   -166.7351951560      0.0000000000   0.496806E+01     4.08
      1330  0.00000000  401.118   -176.8918426639   -166.6991430598      0.0000000000   0.497610E+01     3.44
      1335  0.00000000  619.727   -176.8427613691   -166.6333748468      0.0000000000   0.502040E+01     3.87
      1340  0.00000000  826.485   -176.8198315636   -166.5871038228      0.0000000000   0.503397E+01     3.00
      1345  0.00000000 1269.261   -176.8441092978   -166.5752637109      0.0000000000   0.496327E+01     4.30
      1350  0.00000000 1364.838   -176.8729809598   -166.5488116739      0.0000000000   0.486097E+01     1.93
